MW,10,15,20,25,30
50K,544.8333333,853,1129.833333,1502,1824.666667
50K Annealed,599,873,1115.5,1484,1801.5
311K,658.1666667,1063.666667,1492.333333,2028.666667,2653.666667
311K Annealed,602.5,1020.5,1415,1940.5,2521.5
650K,717.1666667,1177.5,1874.333333,2664,3442.166667
650K Annealed,732,1209,1894.5,2586.5,3394.5
