Concentration,30K,30K Err,50K,50K Err,123K,123K Err,200K,200K Err,311K,311K Err,650K,650K Err,1080K,1080K Err,2000K,2000K Err
10,52.18333333333334,0.6664320253742652,54.483333333333334,1.2965827564966474,56.21666666666667,0.721778113026742,62.96666666666667,0.8731232317249273,65.81666666666666,1.9855852313892506,71.71666666666667,0.4394850522044065,85.68333333333334,0.9779289226614458,102.6,1.136123936901254
15,80.16666666666667,0.6914230092915447,85.3,1.1954393334669882,88.8,0.7012309177439355,101.01666666666667,1.4064887407220097,106.36666666666667,3.053940259911959,117.75,0.5277461510991813,147.58333333333334,1.0164531360460167,192.78333333333333,1.2584936674894787
20,108.65,1.6474496653919346,112.98333333333333,1.1731836646966725,126.56666666666666,0.8493333333333323,142.2,1.526620668884931,149.23333333333335,4.313385635952863,187.43333333333334,1.3212848965222388,232.91666666666666,0.5823468992886552,315.03333333333336,1.875647064644926
25,139.95,1.5538486412775256,150.2,3.0595258891969963,169.81666666666666,3.1086929157516376,184.13333333333333,2.967169275776351,202.86666666666667,5.676936607400551,266.4,3.657032968587142,326.65,3.498018905990456,498.6166666666667,5.176136156546794
30,172.98333333333332,3.240987736957846,182.46666666666667,2.004360224887513,207.58333333333331,3.7976879164975035,244.28333333333333,1.239010106675668,265.3666666666667,9.350749883179303,344.2166666666667,5.432516756634169,468.18333333333334,5.328032474041833,725.1833333333333,10.014099735428596
