Concentration,30K,50K,123K,200K,311K,650K,1080K,2000K
10,521.8333333333334,544.8333333333334,562.1666666666666,629.6666666666666,658.1666666666666,717.1666666666666,856.8333333333334,1026.0
15,801.6666666666666,853.0,888.0,1010.1666666666666,1063.6666666666667,1177.5,1475.8333333333333,1927.8333333333333
20,1086.5,1129.8333333333333,1265.6666666666667,1422.0,1492.3333333333333,1874.3333333333333,2329.1666666666665,3150.3333333333335
25,1399.5,1502.0,1698.1666666666667,1841.3333333333333,2028.6666666666667,2664.0,3266.5,4986.166666666667
30,1729.8333333333333,1824.6666666666667,2075.8333333333335,2442.8333333333335,2653.6666666666665,3442.1666666666665,4681.833333333333,7251.833333333333
