Thickness,30K,50K,123K,200K,311K,650K,1080K,2000K
100,18.502879084920835,17.581829942457272,16.33339386037174,15.113235472755049,14.45978832296351,12.983187397517993,11.27698439039323,9.622062662233118
200,33.92036123773339,32.3523683683131,28.967542181196055,26.132529203246857,24.68619060064943,20.917508142141777,18.442192194075247,15.550947266324373
300,47.175408059145326,45.25039072174825,40.08991447197114,34.75503274909469,32.61382827430661,27.331857205956723,23.49082546608674,19.371642208363472
400,58.982867933826654,56.84692432202394,50.14045061615607,42.08314732871421,39.3249944763585,32.86387195800688,27.62220276072296,22.426353721839476
500,69.73356159169786,67.47095261757369,59.37979894404047,48.56819802176729,45.251142335094976,37.80077181933385,31.206293461381456,25.047301437477874
