,MW,10,15,20,25,30
0,50K,-9.94187825695575,-2.3446658851113718,1.2686236616812614,1.1984021304926764,1.269638308134883
1,311K,8.457837431832973,4.058288967703447,5.182041524499007,4.346040107731507,4.9805300960959
2,650K,-2.0683244200758457,-2.67515923566879,-1.0759381293039172,2.909159159159159,1.3847867233443278
